Frase,Autor
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein
