Página,Etiqueta,X_Centro,Y_Centro,BBox
17,F35,1980.36,1267.56,"(5482, 3510, 38, 22)"
17,COLUMNS,2190.24,1617.48,"(6035, 4482, 98, 22)"
18,POST,1168.02,388.62,"(3217, 1068, 55, 23)"
18,POST,1840.14,727.92,"(5084, 2011, 55, 22)"
18,POST,959.58,1053.36,"(2638, 2915, 55, 22)"
18,COLUMNS,994.14,1657.8,"(2712, 4594, 99, 22)"
19,COLUMNS,915.48,1666.8,"(2494, 4619, 98, 22)"
19,POST,2130.3,217.8,"(5890, 594, 55, 22)"
