pais,iso_alpha,titular,enlace,fecha
USA,USA,Read the Texts Between Trump and Norway’s Prime Minister,https://www.nytimes.com/2026/01/19/us/politics/read-the-texts-between-trump-and-norways-prime-minister-about-greenland.html,2026-01-19 13:18
USA,USA,Trump Has an Offramp on Greenland. He Doesn’t Seem to Want It.,https://www.nytimes.com/2026/01/19/us/politics/trump-greenland-nato.html,2026-01-19 13:18
Brasil,BRA,Mais de 100 cursos de Medicina vão ser punidos após avaliação ruim,https://g1.globo.com/educacao/noticia/2026/01/19/resultado-enamed.ghtml,2026-01-19 13:18
Brasil,BRA,Três em cada 10 cursos de medicina são reprovados em exame,https://oglobo.globo.com/brasil/noticia/2026/01/19/tres-em-cada-10-cursos-de-medicina-sao-reprovados-em-exame-que-mede-qualidade-da-formacao.ghtml,2026-01-19 13:18
Brasil,BRA,Quase metade dos alunos de faculdades privadas não atinge proficiência,https://cbn.globo.com/brasil/noticia/2026/01/19/quase-metade-dos-alunos-de-faculdades-privadas-de-medicina-nao-atingiram-nivel-de-proficiencia.ghtml,2026-01-19 13:18
Brasil,BRA,SP: corpo de idosa levada em carro em enxurrada é achado,https://g1.globo.com/sp/sao-paulo/noticia/2026/01/19/corpo-de-mulher-e-encontrado-no-rio-pinheiros-pelos-bombeiros-familia-diz-que-e-de-idosa-arrastada-pela-chuva.ghtml,2026-01-19 13:18
Brasil,BRA,VÍDEO mostra mulher e carro sendo levados,https://g1.globo.com/globonews/conexao-globonews/video/corpo-de-idosa-arrastada-pela-chuva-e-encontrado-em-sp-14266826.ghtml,2026-01-19 13:18
Argentina,ARG,"La entidad que agrupa a las medianas empresas avaló los cambios en el derecho individual del trabajo, pero advirtió que los ajustes de los convenios colectivos amenazan la estabilidad jurídica",https://www.lanacion.com.ar/politica/reforma-laboral-la-came-pide-eliminar-articulos-que-podrian-abrir-una-etapa-de-mayor-conflicto-nid19012026/,2026-01-19 13:19
Argentina,ARG,“Nada funciona bajo la corrupción”.Duelo nacional y agenda suspendida: unidad política y reproches de la ultraderecha tras la tragedia en España,https://www.lanacion.com.ar/el-mundo/duelo-nacional-y-agenda-suspendida-unidad-politica-y-reproches-de-la-ultraderecha-tras-la-tragedia-nid19012026/,2026-01-19 13:19
Argentina,ARG,“Destructiva”.Fuertes críticas de tres cardenales estadounidenses cercanos a León XIV a la política exterior de Trump,https://www.lanacion.com.ar/el-mundo/tres-cardenales-estadounidenses-cercanos-a-leon-xiv-cuestionaron-la-moral-de-la-politica-exterior-de-nid19012026/,2026-01-19 13:19
Argentina,ARG,Transporte.Un magnate mexicano y las poderosas cerealeras compiten por un negocio millonario,https://www.lanacion.com.ar/economia/belgrano-cargas-un-gigante-mexicano-y-las-poderosas-cerealeras-compiten-por-el-negocio-nid19012026/,2026-01-19 13:19
Argentina,ARG,Fútbol y negocios.El Gobierno apuesta a la publicidad para no gastar recursos en la televisación del Mundial,https://www.lanacion.com.ar/politica/el-gobierno-apuesta-a-la-recaudacion-de-la-publicidad-para-no-gastar-recursos-propios-en-la-nid19012026/,2026-01-19 13:19
Bolivia,BOL,"Fitch mejora la nota de Bolivia y aleja el default, pero la economía sigue en zona de alto riesgo",https://www.eldeber.com.bo/economia/fitch-mejora-nota-bolivia-aleja-default-economia-sigue-zona-alto-riesgo_1768835707,2026-01-19 13:19
Bolivia,BOL,"En medio de rumores, Policía dice que Evo no salió del país “por lo menos por rutas legales”",https://www.eldeber.com.bo/pais/medio-rumores-policia-dice-evo-no-salio-pais-menos-rutas-legales_1768839960,2026-01-19 13:19
Bolivia,BOL,Legislativo convocará a “todas las organizaciones” para socializar la ley antibloqueo antes de su tratamiento,https://www.eldeber.com.bo/pais/legislativo-convocara-todas-organizaciones-socializar-ley-antibloqueo-antes-tratamiento_1768834768,2026-01-19 13:19
Bolivia,BOL,Contrabando de GLP agrava la escasez: en países vecinos la garrafa cuesta hasta Bs 200,https://www.eldeber.com.bo/economia/contrabando-glp-agrava-escasez-paises-vecinos-garrafa-cuesta-bs-200_1768831577,2026-01-19 13:19
Bolivia,BOL,Cámara de vigilancia registra el accidente fatal de un bus en Yacuiba,https://www.eldeber.com.bo/pais/camara-vigilancia-registra-accidente-fatal-bus-yacuiba_1768839310,2026-01-19 13:19
Colombia,COL,Descubren construcción ilegal en la Reserva Thomas Van der Hammen: la obra era más grande que el estadio El Campín,https://www.eltiempo.com/bogota/descubren-construccion-ilegal-en-la-reserva-thomas-van-der-hammen-la-obra-era-mas-grande-que-el-estadio-el-campin-3525154,2026-01-19 13:19
Colombia,COL,Así fue la pelea entre periodistas y el técnico de Senegal tras la final de la Copa Africana de Naciones,https://www.eltiempo.com/deportes/futbol-internacional/video-asi-fue-la-impresionante-pelea-entre-periodistas-y-el-tecnico-de-senegal-tras-la-final-de-la-copa-africana-de-naciones-3525208,2026-01-19 13:19
Colombia,COL,Antecedentes de ladrón involucrado en accidente de avenida 68 en Bogotá:había sido condenado por homicidio,https://www.eltiempo.com/bogota/antecedentes-de-ladron-que-uso-nombre-falso-y-que-estaba-involucrado-en-grave-accidente-de-la-avenida-68-en-bogota-habia-sido-condenado-por-homicidio-3525262,2026-01-19 13:19
Colombia,COL,El futuro de la educación: una ruta compartida,https://www.eltiempo.com/vida/educacion/el-futuro-de-la-educacion-una-ruta-compartida-3525115,2026-01-19 13:19
Colombia,COL,Giro en investigación del atentado sicarial contra directivos de la cárcel de Neiva: sería retaliación de internos,https://www.eltiempo.com/justicia/investigacion/giro-en-la-investigacion-por-el-atentado-sicarial-contra-los-directores-de-la-carcel-de-neiva-se-trataria-de-ajuste-de-cuentas-3525304,2026-01-19 13:19
Perú,PER,PREMIOS DT 2025 |Las mejores postales del galardón otorgado por El Comercio,https://elcomercio.pe/deporte-total/futbol-peruano/premios-dt-2025-mira-las-mejores-postales-de-los-ganadores-con-el-galardon-otorgado-por-el-comercio-noticia/,2026-01-19 13:19
Perú,PER,“Palacio no tiene ningún filtro que permita saber que un invitado está siendo investigado”,https://elcomercio.pe/politica/gobierno/ernesto-alvarez-palacio-no-tiene-ningun-filtro-informacion-o-sistema-que-le-permita-saber-que-un-invitado-esta-siendo-investigado-ji-wu-xiaodong-zhihua-yang-ultimas-noticia/,2026-01-19 13:19
Perú,PER,“El Perú tiene mejores armas que la mayoría en este nuevo tablero del comercio global”,https://elcomercio.pe/economia/peru/juan-carlos-mathews-extitular-del-mincetur-el-peru-tiene-mejores-armas-que-la-mayoria-en-este-nuevo-tablero-del-comercio-global-juan-carlos-mathews-mincetur-trump-aranceles-noticia/,2026-01-19 13:19
Perú,PER,José Jerí y sus tres versiones sobre la cita con empresario fuera de Palacio de Gobierno,https://elcomercio.pe/politica/jose-jeri-y-sus-versiones-sobre-cita-con-empresario-desde-el-dia-de-la-amistad-con-china-hasta-la-presencia-de-tiburcio-tlc-audio-noticia/,2026-01-19 13:19
Perú,PER,Armonía 10: Fiscalía realiza diligencias urgentes tras ataque extorsivo contra bus,https://elcomercio.pe/peru/la-libertad/armonia-10-fiscalia-realiza-diligencias-urgentes-tras-ataque-extorsivo-contra-bus-ultimas-noticia/,2026-01-19 13:19
Ecuador,ECU,‘Los que se van solos se ahogan’: Aquiles Alvarez se pronuncia tras decisión política de Marcela Aguiñaga,https://www.eluniverso.com/guayaquil/comunidad/los-que-se-van-solos-se-ahogan-aquiles-alvarez-se-pronuncia-tras-decision-politica-de-marcela-aguinaga-nota/,2026-01-19 13:19
Ecuador,ECU,Eutanasia en Ecuador: expertos apuntan que proyecto de ley para regular proceso vulneraría derechos y se alejaría de la sentencia que ordenó su elaboración,https://www.eluniverso.com/noticias/ecuador/eutanasia-en-ecuador-expertos-apuntan-que-proyecto-de-ley-para-regular-proceso-vulneraria-derechos-y-se-alejaria-de-la-sentencia-que-ordeno-su-elaboracion-nota/,2026-01-19 13:19
Ecuador,ECU,"‘No tengo casa ni carro, pero sí les he dado una buena educación a mis hijos’: ¿cuánto gana una persona de la clase media en Ecuador?",https://www.eluniverso.com/noticias/informes/no-tengo-casa-ni-carro-pero-si-les-he-dado-una-buena-educacion-a-mis-hijos-cuanto-gana-una-persona-de-la-clase-media-en-ecuador-nota/,2026-01-19 13:19
Ecuador,ECU,Operación de Coca Codo Sinclair está más cerca de pasar a manos de Power China,https://www.eluniverso.com/noticias/economia/coca-codo-sinclair-ecuador-a-manos-de-power-china-arbitraje-sinohydro-nota/,2026-01-19 13:19
