country,material,price,currency,unit,source,date,source_url,extraction_date
Ecuador,Apartamento (m2 Centro),1536.53,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Egypt,Apartamento (m2 Centro),808.04,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Estonia,Apartamento (m2 Centro),4409.04,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Finland,Apartamento (m2 Centro),5638.02,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
France,Apartamento (m2 Centro),5966.85,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Georgia,Apartamento (m2 Centro),1640.99,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Germany,Apartamento (m2 Centro),6457.96,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Greece,Apartamento (m2 Centro),3232.82,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Hong Kong (China),Apartamento (m2 Centro),25070.63,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Hungary,Apartamento (m2 Centro),3905.03,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
India,Apartamento (m2 Centro),1288.76,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Indonesia,Apartamento (m2 Centro),1739.28,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Iran,Apartamento (m2 Centro),1067.52,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Iraq,Apartamento (m2 Centro),1515.69,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Ireland,Apartamento (m2 Centro),5489.07,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Israel,Apartamento (m2 Centro),9973.89,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Italy,Apartamento (m2 Centro),4038.47,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Japan,Apartamento (m2 Centro),6116.09,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Jordan,Apartamento (m2 Centro),1296.6,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Kazakhstan,Apartamento (m2 Centro),1334.64,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Kenya,Apartamento (m2 Centro),1445.32,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Kosovo (Disputed Territory),Apartamento (m2 Centro),2054.43,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
